review,rating,date,bank,source,sentiment_score,sentiment_label,keywords,themes
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,Google Play,0.5678,positive,"['recent', 'update', 'unable', 'receipt', 'name', 'account', 'holder', 'important']","['Account Access Issues', 'Features']"
nice,5,2025-11-02,CBE,Google Play,0.4215,positive,['nice'],['Other']
wow 😘😘😘,4,2025-11-02,CBE,Google Play,0.5859,positive,[],['Other']
mobile banking broblem,5,2025-11-01,CBE,Google Play,0.0,neutral,"['mobile', 'banking', 'broblem']",['Other']
good job,5,2025-11-01,CBE,Google Play,0.4404,positive,"['good', 'job']",['Other']
good,3,2025-11-01,CBE,Google Play,0.4404,positive,['good'],['Other']
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play,0.6705,positive,"['good', 'clear', 'app']",['User Interface & Experience']
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play,0.0,neutral,[],['Other']
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play,0.861,positive,"['app', 'bc', 'option', 'app', 'clear', 'supportive']","['User Interface & Experience', 'Features']"
niiceh,5,2025-10-29,CBE,Google Play,0.0,neutral,['niiceh'],['Other']
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play,-0.2144,negative,"['app', 'good', 'dark', 'mode']",['User Interface & Experience']
🤮,1,2025-10-29,CBE,Google Play,0.0,neutral,[],['Other']
abdulakim abrahim elemoo,5,2025-10-29,CBE,Google Play,0.0,neutral,['abdulakim'],['Other']
good app,5,2025-10-28,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
strong,5,2025-10-28,CBE,Google Play,0.5106,positive,['strong'],['Other']
good,5,2025-10-28,CBE,Google Play,0.4404,positive,['good'],['Other']
best,5,2025-10-28,CBE,Google Play,0.6369,positive,[],['Other']
Abebaw Zenebe,5,2025-10-28,CBE,Google Play,0.0,neutral,"['abebaw', 'zenebe']",['Other']
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play,0.6486,positive,"['new', 'update', 'fire', 'soo', 'good']",['Features']
good,5,2025-10-27,CBE,Google Play,0.4404,positive,['good'],['Other']
Cbe,5,2025-10-27,CBE,Google Play,0.0,neutral,['cbe'],['Other']
Active and granted system,5,2025-10-27,CBE,Google Play,0.5719,positive,"['active', 'system']",['Other']
fast app,4,2025-10-27,CBE,Google Play,0.0,neutral,"['fast', 'app']",['User Interface & Experience']
cool 😎,5,2025-10-27,CBE,Google Play,0.3182,positive,['cool'],['Other']
Galaxy A10s,3,2025-10-26,CBE,Google Play,0.0,neutral,['galaxy'],['Other']
the best apps,5,2025-10-26,CBE,Google Play,0.6369,positive,"['good', 'app']",['User Interface & Experience']
arif app new,5,2025-10-26,CBE,Google Play,0.0,neutral,"['arif', 'app', 'new']",['User Interface & Experience']
laga Bari biranch,5,2025-10-26,CBE,Google Play,0.0,neutral,"['laga', 'bari', 'biranch']",['Other']
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play,0.0,neutral,[],['Other']
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play,0.6597,positive,"['time', 'money', 'day']",['Other']
Attractive,5,2025-10-25,CBE,Google Play,0.4404,positive,['attractive'],['Other']
mite,5,2025-10-24,CBE,Google Play,0.0,neutral,['mite'],['Other']
useful,5,2025-10-24,CBE,Google Play,0.4404,positive,['useful'],['Other']
nice,4,2025-10-23,CBE,Google Play,0.4215,positive,['nice'],['Other']
"not good, not bad!",3,2025-10-23,CBE,Google Play,-0.6208,negative,"['good', 'bad']",['Other']
very good,5,2025-10-23,CBE,Google Play,0.4927,positive,['good'],['Other']
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play,0.0,neutral,['ampsa'],['Other']
good job,5,2025-10-22,CBE,Google Play,0.4404,positive,"['good', 'job']",['Other']
imp,5,2025-10-22,CBE,Google Play,0.0,neutral,[],['Other']
super fast app,5,2025-10-21,CBE,Google Play,0.5994,positive,"['super', 'fast', 'app']",['User Interface & Experience']
good app,4,2025-10-20,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
useful,5,2025-10-20,CBE,Google Play,0.4404,positive,['useful'],['Other']
